"Column Name","Label"
"S2704_C02_009MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009E","Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009EA","Annotation of Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009M","Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C02_010E","Estimate!!Public Coverage!!VA health care coverage alone or in combination"
"S2704_C02_010EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination"
"S2704_C02_010M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C02_010MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C03_010E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination"
"S2704_C03_010EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination"
"S2704_C03_010M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C03_010MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C02_011E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_012E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_013E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_014E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_015E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_016E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C02_016EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C02_016M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C02_016MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C03_016E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C03_016M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C03_016MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C03_016EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C02_017E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C02_017EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C02_017M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C02_017MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C03_017E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C03_017M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C03_017MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C03_017EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C02_018E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C02_018M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C02_018MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C02_018EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C03_018E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C03_018M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C03_018MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C03_018EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C02_019E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C02_019M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C02_019MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C02_019EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C03_019E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C03_019EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C03_019M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C03_019MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C02_020E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C02_020M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C02_020MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C02_020EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C03_020E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C03_020EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C03_020M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C03_020MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C02_021E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C02_021M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C02_021MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C02_021EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C03_021E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C03_021M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C03_021MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C03_021EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C02_022E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C02_022M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C02_022MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C02_022EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C03_022E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C03_022M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C03_022MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C03_022EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C02_023E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C02_023M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C02_023MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C02_023EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C03_023E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C03_023M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C03_023MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C03_023EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C02_024E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C02_024M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C02_024MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C02_024EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C03_024E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C03_024M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C03_024MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C03_024EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C02_025E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C02_025M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C02_025MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C02_025EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C03_025E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C03_025M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C03_025MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C03_025EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C02_026E","Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C02_026M","Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C02_026MA","Annotation of Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C02_026EA","Annotation of Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C03_026E","Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C03_026M","Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C03_026MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C03_026EA","Annotation of Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C02_027E","Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C02_027M","Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C02_027MA","Annotation of Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C02_027EA","Annotation of Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C03_027E","Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C03_027M","Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C03_027MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C03_027EA","Annotation of Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C02_028E","Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C02_028M","Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C02_028MA","Annotation of Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C02_028EA","Annotation of Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C03_028E","Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C03_028EA","Annotation of Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C03_028M","Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C03_028MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C02_029E","Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C02_029M","Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C02_029MA","Annotation of Margin of Error!!Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C02_029EA","Annotation of Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C03_029E","Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C03_029EA","Annotation of Estimate!!Percent Public Coverage!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C03_029M","Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C03_029MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
